3._some_broken_website,2025-07-19 19:06,500
1._this_website,2025-07-19 19:06,200
2._some_flipping_website,2025-07-19 19:06,500
2._some_flipping_website,2025-07-19 19:10,200
3._some_broken_website,2025-07-19 19:10,500
1._this_website,2025-07-19 19:10,200
3._some_broken_website,2025-07-19 19:11,500
1._this_website,2025-07-19 19:11,200
2._some_flipping_website,2025-07-19 19:11,500
3._some_broken_website,2025-07-19 19:12,500
2._some_flipping_website,2025-07-19 19:12,200
1._this_website,2025-07-19 19:12,200
1._this_website,2025-07-19 19:23,200
2._some_flipping_website,2025-07-19 19:23,200
3._some_broken_website,2025-07-19 19:23,500
1._this_website,2025-07-19 19:38,200
3._some_broken_website,2025-07-19 19:38,500
2._some_flipping_website,2025-07-19 19:38,200
1._this_website,2025-07-19 19:50,200
3._some_broken_website,2025-07-19 19:50,500
2._some_flipping_website,2025-07-19 19:50,500
1._this_website,2025-07-19 20:15,200
3._some_broken_website,2025-07-19 20:15,500
2._some_flipping_website,2025-07-19 20:15,200
1._this_website,2025-07-19 20:38,200
3._some_broken_website,2025-07-19 20:38,500
2._some_flipping_website,2025-07-19 20:38,200
1._this_website,2025-07-19 20:54,200
3._some_broken_website,2025-07-19 20:54,500
2._some_flipping_website,2025-07-19 20:54,200
1._this_website,2025-07-19 21:21,200
3._some_broken_website,2025-07-19 21:21,500
2._some_flipping_website,2025-07-19 21:21,500
3._some_broken_website,2025-07-19 21:39,500
2._some_flipping_website,2025-07-19 21:39,200
1._this_website,2025-07-19 21:39,200
3._some_broken_website,2025-07-19 21:51,500
1._this_website,2025-07-19 21:51,200
2._some_flipping_website,2025-07-19 21:51,500
1._this_website,2025-07-19 22:15,200
3._some_broken_website,2025-07-19 22:15,500
2._some_flipping_website,2025-07-19 22:15,200
3._some_broken_website,2025-07-19 22:23,500
1._this_website,2025-07-19 22:23,200
2._some_flipping_website,2025-07-19 22:23,200
1._this_website,2025-07-19 22:24,200
3._some_broken_website,2025-07-19 22:24,500
2._some_flipping_website,2025-07-19 22:24,200
1._this_website,2025-07-19 22:26,200
3._some_broken_website,2025-07-19 22:26,500
2._some_flipping_website,2025-07-19 22:26,200
3._some_broken_website,2025-07-19 22:26,500
2._some_flipping_website,2025-07-19 22:26,200
1._this_website,2025-07-19 22:26,200
3._some_broken_website,2025-07-19 22:28,500
2._some_flipping_website,2025-07-19 22:28,200
1._this_website,2025-07-19 22:28,200
3._some_broken_website,2025-07-19 22:28,500
1._this_website,2025-07-19 22:28,200
2._some_flipping_website,2025-07-19 22:28,200
3._some_broken_website,2025-07-19 22:29,500
2._some_flipping_website,2025-07-19 22:29,200
1._this_website,2025-07-19 22:29,200
3._some_broken_website,2025-07-19 22:30,500
1._this_website,2025-07-19 22:30,200
2._some_flipping_website,2025-07-19 22:30,500
3._some_broken_website,2025-07-19 22:32,500
2._some_flipping_website,2025-07-19 22:32,500
1._this_website,2025-07-19 22:32,200
2._some_flipping_website,2025-07-19 22:40,500
3._some_broken_website,2025-07-19 22:40,500
1._this_website,2025-07-19 22:40,200
1._this_website,2025-07-19 22:53,200
3._some_broken_website,2025-07-19 22:53,500
2._some_flipping_website,2025-07-19 22:53,200
3._some_broken_website,2025-07-19 23:23,500
2._some_flipping_website,2025-07-19 23:23,500
1._this_website,2025-07-19 23:23,200
1._this_website,2025-07-19 23:44,200
3._some_broken_website,2025-07-19 23:44,500
2._some_flipping_website,2025-07-19 23:44,200
1._this_website,2025-07-19 23:56,200
3._some_broken_website,2025-07-19 23:56,500
2._some_flipping_website,2025-07-19 23:56,500
1._this_website,2025-07-20 02:34,200
3._some_broken_website,2025-07-20 02:34,500
2._some_flipping_website,2025-07-20 02:34,200
1._this_website,2025-07-20 03:57,200
